Partner code,POS,GB,$txn,Profit,Markup,Fee,Tax
PTM_TRAVELTOOLS,PTM,,,,Yes,Yes,Yes
HAA_LASTMINUTESYDNEY,HAA,,,,Yes,Yes,Yes
PTM_EMEDIA,PTM,,,,Yes,Yes,Yes
HAA_MELBOURNEONLINE,HAA,,,,Yes,Yes,Yes
PTM_ABLIFE,PTM,,,,Yes,Yes,Yes
PTM_ISPT,PTM,,,,Yes,Yes,Yes
PTM_ECONATOURS,PTM,,,,Yes,Yes,Yes
HAA_HOTELSLISTING,HAA,,,,Yes,Yes,Yes
PTM_KISHOTAKEGOCHI,PTM,,,,Yes,Yes,Yes
HAA_GOLDCOASTSPECIAL,HAA,,,,Yes,Yes,Yes
HAA_ONLINEHOTEL,HAA,,,,Yes,Yes,Yes
PTM_UNITEDSTAFF,PTM,,,,Yes,Yes,Yes
HAA_HONGKONGHOTELGUI,HAA,,,,Yes,Yes,Yes
PTM_MASTERCARD,PTM,,,,Yes,Yes,Yes
PTM_AUSTRALIENWOHNMO,PTM,,,,Yes,Yes,Yes
PTM_VERACHINNAROD,PTM,,,,Yes,Yes,Yes
PTM_BBROMA,PTM,,,,Yes,Yes,Yes
PTM_ROOMS2GO,PTM,,,,Yes,Yes,Yes
PTM_EURONAVI,PTM,,,,Yes,Yes,Yes
HAA_EXPLORENEWZEALAN,HAA,,,,Yes,Yes,Yes
PTM_SPHEMPLOYEEHOTEL,PTM,,,,Yes,Yes,Yes
PTM_ETRAVEL,PTM,,,,Yes,Yes,Yes
PTM_CHANNEL9STAFF,PTM,,,,Yes,Yes,Yes
PTM_BLUE1STAFF,PTM,,,,Yes,Yes,Yes
PTM_GOLDAIRBENDIGO,PTM,Yes,,,,,
PTM_WEBJETAU,PTM,Yes,,,,,
PTM_VISA_CIMB,PTM,,Yes,,,,
PTM_VISA_THHK,PTM,,Yes,,,,
PTM_ID90,PTM,,,Yes,,,
PTM_AIRNZ_STAFF,PTM,,,,Yes,Yes,Yes
PTM_TAISHINBANK,PTM,,,,Yes,Yes,Yes
PTM_CORPORATEKEYS,PTM,Yes,,,,,
PTM_VISA_EN_BIZ,PTM,,Yes,,,,
PTM_TWEETWORLD,PTM,Yes,,,,,
HAA_FLYWEST,HAA,,,,Yes,Yes,Yes
PTM_EUROSTARSTAFF,PTM,,,Yes,,,
PTM_EUROPCAR_STAFF,PTM,,,,Yes,Yes,Yes
PTM_VISA_EN,PTM,,,,Yes,Yes,Yes
PTM_MISATRAVEL,PTM,,Yes,,,,
HAA_REWARDSCENTRAL,HAA,,,,Yes,Yes,Yes
HAA_SMILECITY,HAA,,,,Yes,Yes,Yes
PTM_KWTOURS,PTM,,Yes,,,,
PTM_TOPTRAVEL,PTM,Yes,,,,,
PTM_WEBJETNZ,PTM,Yes,,,,,
PTM_MYREWARDS,PTM,,,,Yes,Yes,Yes
PTM_EXCITEHOLIDAYS,PTM,Yes,,,,,
PTM_BIGPONDMEMBEROFF,PTM,,,,Yes,Yes,Yes
PTM_BOOKMEHOTELS,PTM,Yes,,,,,
PTM_VIRGINAUS,PTM,Yes,,,,,
PTM_YAHOOAUSTRALIA,PTM,,,Yes,,,
PTM_VISA_EN_BIZ,PTM,,Yes,,,,
PTM_VISA_CN,PTM,,Yes,,,,
PTM_VISA_CS,PTM,,Yes,,,,
PTM_CONNOISSEURCLUBM,PTM,,,,Yes,Yes,Yes
PTM_YAHOOAUSTRALIA,PTM,,,,Yes,,Yes
PTM_CARNIVAL_STAFF,PTM,,,,Yes,Yes,Yes
PTM_PRESIDENTIALCARD,PTM,,,,Yes,Yes,Yes
PTM_EAE,PTM,,,,Yes,Yes,Yes
PTM_FLIGHTCENTRESOUT,PTM,,,,Yes,Yes,Yes
HAA_BUDGET,HAA,,,,Yes,Yes,Yes
HAA_APILIFESTYLE,HAA,,,,Yes,Yes,Yes
PTM_KFHBANK,PTM,,Yes,,,,
PTM_FLYASIANA,PTM,,,,Yes,Yes,Yes
PTM_WHATSONGROUP,PTM,,Yes,,,,
PTM_HUANANBANK,PTM,,Yes,,,,
PTM_VISA_KBANK,PTM,,Yes,,,,
PTM_SURETHINGTRAVEL,PTM,,Yes,,,,
PTM_AMEXBONUSREWARDS,PTM,,Yes,,,,
HAA_MEMBERADVANTAGE,HAA,,,,Yes,Yes,Yes
PTM_OPTUS_STAFF,PTM,,,,Yes,Yes,Yes
PTM_ITRAVELPARTNERS,PTM,Yes,,,,,
HAA_ACCOMMODATION,HAA,,,,Yes,Yes,Yes
PTM_OLAVI,PTM,,,,Yes,Yes,Yes
PTM_SAWADEE,PTM,,,Yes,,,
PTM_PRICEBREAKER,PTM,,,,Yes,Yes,Yes
PTM_JAINGSU,PTM,,,,Yes,Yes,Yes
PTM_SKBANK,PTM,Yes,,,,,
PTM_TRAVELINK,PTM,Yes,,,,,
PTM_IDINFUNCOM,PTM,,,,Yes,Yes,Yes
HAA_LASTMINUTEDEALS,HAA,,,,Yes,Yes,Yes
PTM_WINGLOBAL,PTM,,Yes,,,,
HAA_VISITORGUIDE,HAA,,Yes,,,,
DSTA_HIPMUNK,DSTA,Yes,,,,,
DSTA_HIPMUNK,DSTA,Yes,,,,,
DSTA_HIPMUNKYELP,DSTA,Yes,,,,,
DSTA_HIPMUNKYELP,DSTA,Yes,,,,,
DSTA_KAYAK,DSTA,Yes,,,,,
DSTA_KAYAK_AIR,DSTA,Yes,,,,,
DSTA_KAYAK_MOBAIR,DSTA,Yes,,,,,
DSTA_KAYAK_MOBHOT,DSTA,Yes,,,,,
DSTA_KAYAK,DSTA,Yes,,,,,
DSTA_KAYAK_AIR,DSTA,Yes,,,,,
DSTA_KAYAK_MOBAIR,DSTA,Yes,,,,,
DSTA_KAYAK_MOBHOT,DSTA,Yes,,,,,
DSTA_SAVEONRESORTS,DSTA,,,,Yes,Yes,Yes
DSTA_SAVEONRESORTS,DSTA,,,,Yes,Yes,Yes
DSTA_WCTPREMPARTNER,DSTA,,Yes,,,,
INVMER,INVMER,,Yes,,,,
AAL_AMEXENCORE,AAL,,,,Yes,Yes,Yes
MTE_EASYTOBOOK,MTE,Yes,,,,,
MTE_EASYTOBOOKEUR,MTE,Yes,,,,,
MTE_EASYTOBOOKGBP,MTE,Yes,,,,,
MTE_CITYBOOKERSPACK,MTE,Yes,,,,,
MTE_CITYBOOKERSHOT,MTE,Yes,,,,,
MTE_CTMLTDPKG,MTE,,,,Yes,Yes,Yes
MTE_CTMLTD,MTE,,,,Yes,Yes,Yes
MTE_GOHOP,MTE,,,,Yes,Yes,Yes
MTE_GOHOPPACK,MTE,,Yes,,,,
MTE_GOCOMPAREGROSS,MTE,,,,Yes,Yes,Yes
MTE_HOTELMAP,MTE,,,,Yes,Yes,Yes
MTE_INFINITYPACKAGE,MTE,,,,Yes,Yes,Yes
MTE_INFINITYBOOKING,MTE,,,,Yes,Yes,Yes
MTE_LEONARDOPACK,MTE,Yes,,,,,
MTE_LEONARDO,MTE,Yes,,,,,
MTE_NEWSTRAVELPACK,MTE,,,,Yes,Yes,Yes
